ip,port,loc_country,zip,protocol,ts,times,is_attack
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:17,35,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:18,33,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:19,28,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:20,33,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:21,26,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:22,23,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:23,25,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:24,31,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:25,33,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:26,31,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:27,29,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:28,28,1
182.190.52.112,80,PK,46000,HTTP,2018-02-18 01:29:29,31,1
